code,name,country
MI,SilkAir,Singapore
MJ,L,Argentina
MK,Air Mauritius,Mauritius
ML,African Transport Trading and Investment Company,Sudan
ML,Maldivo Airlines,Maldives
MM,EuroAtlantic Airways,Portugal
MM,SAM Colombia,Colombia
MM,Peach Aviation,Japan
MN,Comair,South Africa
MO,Abu Dhabi Amiri Flight,United Arab Emirates
MO,Calm Air,Canada
MP,Martinair,Netherlands
MQ,American Eagle Airlines,United States
MR,Air Mauritanie,Mauritania
MR,Homer Air,Germany
MS,Egyptair,Egypt
MT,Thomas Cook Airlines,United Kingdom
MU,China Eastern Airlines,China
MV,Armenian International Airways,Armenia
MW,Maya Island Air,Belize
MX,Mexicana de Aviaci,Mexico
MY,Maxjet Airways,United States
MY,Midwest Airlines (Egypt),Egypt
MZ,Merpati Nusantara Airlines,Indonesia
N0,Norte Lineas Aereas,Argentina
N1,N1,Peru
N2,Dagestan Airlines,Russia
N2,Kabo Air,Nigeria
N3,Omskavia Airline,Russia
N4,Mountain Air Company,Sierra Leone
N4,National Airlines,Chile
N4,Minerva Airlines,Italy
N4,Regionalia M̩xico,Mexico
N5,Kyrgyz Airlines,Kyrgyzstan
N5,Skagway Air Service,United States
N6,Lagun Air,Spain
N6,Nuevo Continente,Peru
N6,Aerocontinente (Priv),Peru
N7,National Airlines,United States
N7,All Spain,Spain
N8,Fika Salaama Airlines,Uganda
N8,National Air Cargo,United States
N9,North Coast Aviation,Papua New Guinea
N9,All Europe,United Kingdom
NA,National Airlines,United States
NA,Al-Naser Airlines,Iraq
NB,Sterling Airlines,Denmark
NC,National Jet Systems,Australia
NC,Northern Air Cargo,United States
NE,SkyEurope,Slovakia
NF,Air Vanuatu,Vanuatu
NG,Lauda Air,Austria
NH,All Nippon Airways,Japan
NI,Portugalia,Portugal
NJ,Nihon.jet,Japan
NJ,Nordic Global Airlines,Finland
NK,Spirit Airlines,United States
NL,Shaheen Air International,Pakistan
NM,Air Madrid,Spain
NM,Mount Cook Airlines,New Zealand
NN,VIM Airlines,Russia
NO,Aus-Air,Australia
NO,Neos,Italy
NO,North Pacific Airlines,United States
NP,Nile Air,Egypt
NQ,Air Japan,Japan
NR,Pamir Airways,Afghanistan
NR,Jettor Airlines,Hong Kong
NS,Caucasus Airlines,Georgia
NT,Binter Canarias,Spain
NU,Japan Transocean Air,Japan
NV,Air Central,Japan
NW,Northwest Airlines,United States
NX,Air Macau,Macao
NY,Air Iceland,Iceland
NZ,Air New Zealand,New Zealand
O1,Orbit Airlines Azerbaijan,Azerbaijan
O2,Oceanic Airlines,Guinea
O6,Oceanair,Brazil
O7,Ozjet Airlines,Australia
O8,Oasis Hong Kong Airlines,Hong Kong
OA,Olympic Airlines,Greece
OB,Astrakhan Airlines,Russia
OC,Catovair,Mauritius
OD,Zuliana de Aviacion,Venezuela
OD,Malindo Air,Malaysia
OE,Asia Overnight Express,Philippines
OE,WestAir,United States
OE,WestAir Airlines,United States
OE,WestAir Airlines ,United States
OF,Air Finland,Finland
OF,Transports et Travaux A,
OG,1-2-go,Thailand
OG,AirOnix,Ukraine
OH,Comair,United States
OI,Orchid Airlines,Australia
OJ,Overland Airways,Nigeria
OK,Czech Airlines,Czech Republic
OL,Ostfriesische Lufttransport,Germany
OM,MIAT Mongolian Airlines,Mongolia
ON,Nauru Air Corporation,Nauru
ON,Our Airline,Nauru
OO,SkyWest,United States
OP,Chalk's Ocean Airways,United States
OQ,Chongqing Airlines,China
OR,Arkefly,Netherlands
OS,Austrian Airlines,Austria
OT,Aeropelican Air Services,Australia
OU,Croatia Airlines,Croatia
OV,Estonian Air,Estonia
OW,Executive Airlines,United States
OX,Orient Thai Airlines,Thailand
OY,Omni Air International,United States
OZ,Asiana Airlines,Republic of Korea
OZ,Ozark Air Lines,United States
P0,Proflight Commuter Services,Zambia
P4,Patriot Airways,United States
P5,AeroRep,Colombia
P7,Russian Sky Airlines,Russia
P7,Regional Paraguaya,Paraguay
P8,Pantanal Linhas A̩reas,Brazil
P8,Air Mekong,Vietnam
P9,Nas Air,Mali
P9,Perm Airlines,Russia
P9,Peruvian Airlines,Peru
PA,Florida Coastal Airlines,United States
PA,Pan American Airways,United States
PA,Pan American World Airways,United States
PA,Parmiss Airlines (IPV),Iran
PC,Air Fiji,Fiji
PC,Continental Airways,Russia
PC,Pegasus Airlines,Turkey
PD,Porter Airlines,Canada
PE,Air Europe,Italy
PF,Palestinian Airlines,Egypt
PF,Primera Air,Iceland
PG,Bangkok Airways,Thailand
PH,Polynesian Airlines,Samoa
PI,Piedmont Airlines (1948-1989),United States
PI,Sun Air (Fiji),Fiji
PJ,Air Saint Pierre,France
PK,Pakistan International Airlines,Pakistan
PL,Aeroper,Peru
PL,Airstars,Russia
PM,Tropic Air,Belize
PN,West Air China,China
PO,Polar Air Cargo,United States
PO,FlyPortugal,Portugal
PP,Air Indus,Pakistan
PQ,Panafrican Airways,Ivory Coast
PQ,LSM Airlines,Russia
PR,Philippine Airlines,Philippines
PS,Pacific Southwest Airlines,United States
PS,Ukraine International Airlines,Ukraine
PT,Capital Cargo International Airlines,United States
PT,West Air Sweden,Sweden
PT,Red Jet Andes,Peru
PU,PLUNA,Uruguay
PV,PAN Air,Spain
PW,Precision Air,Tanzania
PX,Air Niugini,Papua New Guinea
PY,Surinam Airways,Suriname
PZ,TAM Mercosur,Paraguay
Q2,Maldivian,Maldives
Q3,Zambian Airways,Zambia
Q3,SOCHI AIR CHATER,Russia
Q4,Mastertop Linhas Aereas,Brazil
Q5,40-Mile Air,United States
Q6,Aero Condor Peru,Peru
Q8,Pacific East Asia Cargo Airlines,Philippines
Q9,Afrinat International Airlines,Gambia
Q9,Arik Niger,Niger
QA,Click (Mexicana),Mexico
QB,Georgian National Airlines,Georgia
QC,Air Corridor,Mozambique
QC,Camair-co,Cameroon
QD,Air Class Lineas Aereas,Uruguay
QD,Dobrolet,Russia
QE,Crossair Europe,Switzerland
QF,Qantas,Australia
QG,Citilink Indonesia,Indonesia
QH,Air Florida,United States
QH,Kyrgyzstan,Kyrgyzstan
QI,Cimber Air,Denmark
QJ,Jet Airways,United States
QK,Air Canada Jazz,Canada
QL,Aero Lanka,Sri Lanka
QM,Air Malawi,Malawi
QN,Air Armenia,Armenia
QO,Aeromexpress,Mexico
QO,Origin Pacific Airways,New Zealand
QQ,Alliance Airlines,Australia
QQ,Reno Air,United States
QR,Qatar Airways,Qatar
QS,African Safari Airways,Kenya
QS,Travel Service,Czech Republic
QT,TAMPA,Colombia
QU,East African,Uganda
QV,Lao Airlines,Lao Peoples Democratic Republic
QW,Blue Wings,Germany
QX,Horizon Air,United States
QY,European Air Transport,Belgium
QY,Red Jet Canada,Canada
QZ,Indonesia AirAsia,Indonesia
R0,Royal Airlines,Pakistan
R1,Sirin,
R1,Royal Southern Airlines.,Colombia
R2,Orenburg Airlines,Russia
R3,Aircompany Yakutia,Russia
R4,Rossiya,Russia
R5,Jordan Aviation,Jordan
R5,Malta Air Charter,Malta
R6,RACSA,Guatemala
R7,Aserca Airlines,Venezuela
R8,Kyrgyzstan Airlines,Kyrgyzstan
R8,AirRussia,Russia
R9,Camai Air,United States
RA,Nepal Airlines,Nepal
RA,Royal Nepal Airlines,Nepal
RB,Air Srpska,Bosnia and Herzegovina
RB,Syrian Arab Airlines,Syrian Arab Republic
RC,Atlantic Airways,Faroe Islands
RD,Ryan International Airlines,United States
RE,Aer Arann,Ireland
RF,Florida West International Airways,United States
RG,VRG Linhas Aereas,Brazil
RH,Republic Express Airlines,Indonesia
RI,Mandala Airlines,Indonesia
RJ,Royal Jordanian,Jordan
RK,Air Afrique,Ivory Coast
RK,Royal Khmer Airlines,Cambodia
RL,Royal Falcon,Jordan
RM,Rainbow Air US,United States
RN,Rainbow Air (RAI),United States
RO,Tarom,Romania
RP,Chautauqua Airlines,United States
RQ,Kam Air,Afghanistan
RR,Royal Air Force,United Kingdom
RR,Red Jet America,United States
RS,Intercontinental de Aviaci,Colombia
RS,Royal Air Force of Oman,Oman
RS,Sky Regional,Canada
RU,AirBridge Cargo,Russia
RU,SkyKing Turks and Caicos Airways,Turks and Caicos Islands
RU,Rainbow Air Euro,United Kingdom
RV,Caspian Airlines,Iran
RW,Republic Airlines,United States
RX,Aviaexpress,Hungary
RX,Rainbow Air Polynesia,United States
RY,Reno Sky,United States
RY,Rainbow Air Canada,Canada
RZ,Euro Exec Express,Sweden
S0,Slok Air Gambia,Gambia
S0,Spike Airlines,United States
S1,Serbian Airlines,Serbia
S2,Air Sahara,India
S3,Santa Barbara Airlines,Venezuela
S4,SATA International,Portugal
S5,Shuttle America,United States
S5,Trast Aero,Kyrgyzstan
S6,Star Air,Denmark
S6,Salmon Air,United States
S7,S7 Airlines,Russia
S8,Chari Aviation Services,Chad
S8,Shovkoviy Shlyah,Ukraine
S8,Snowbird Airlines,Finland
S9,East African Safari Air,Kenya
S9,Starbow Airlines,Ghana
SA,South African Airways,South Africa
SB,Air Caledonie International,France
SC,Shandong Airlines,China
SD,Sudan Airways,Sudan
SE,XL Airways France,France
SF,Tassili Airlines,Algeria
SF,Air Charter International,France
SG,JetsGo,Canada
SG,Spicejet,India
SH,Fly Me Sweden,Sweden
SH,TAN-SAHSA,Honduras
SH,A̩ris (Priv),France
SH,Sharp Airlines,Australia
SI,Skynet Airlines,Ireland
SJ,Sriwijaya Air,Indonesia
SK,Scandinavian Airlines System,Sweden
SL,Rio Sul Servi,Brazil
SL,Thai Lion Air,Thailand
SM,Swedline Express,Sweden
SM,Spirit of Manila Airlines,Philippines
SN,Brussels Airlines,Belgium
SO,Superior Aviation,United States
SO,Sosoliso Airlines,Nigeria
SO,Salsa d\\'Haiti,Haiti
SP,SATA Air Acores,Portugal
SQ,Singapore Airlines,Singapore
SQ,Singapore Airlines Cargo,Singapore
SR,Swissair,Switzerland
SS,Corsairfly,France
ST,Germania,Germany
SU,Aeroflot Russian Airlines,Russia
SV,Saudi Arabian Airlines,Saudi Arabia
SW,Air Namibia,Namibia
SX,Sky Work Airlines,Switzerland
SX,Skybus Airlines,United States
SX,Starling Airlines Spain,Spain
SX,SkyWork Airlines ,Switzerland
SY,Sun Country Airlines,United States
SZ,Salzburg arrows,Austria
T0,TACA Peru,Peru
T1,TROPICAL LINHAS AEREAS,Brazil
T2,Thai Air Cargo,Thailand
T3,Eastern Airways,United Kingdom
T4,Hellas Jet,Greece
T5,Turkmenistan Airlines,Turkmenistan
T6,Tavrey Airlines,Ukraine
T6,Trans Pas Air,United States
T7,Twin Jet,France
T8,TAN,Argentina
T9,TransMeridian Airlines,United States
T9,Thai Star Airlines,Thailand
TA,Grupo TACA,Costa Rica
TB,TUI Airlines Belgium,Belgium
TB,TrasBrasil,Brazil
TC,Air Tanzania,Tanzania
TD,Atlantis European Airways,Armenia
TD,Tulip Air,Netherland
TE,FlyLal,Lithuania
TF,Malm̦ Aviation,Sweden
TG,Thai Airways International,Thailand
TH,BA Connect,United Kingdom
TH,Transmile Air Services,Malaysia
TH,TransBrasil Airlines,Brazil
TI,Tol-Air Services,United States
TI,TransHolding,Brazil
TJ,Transportes A̩reos Nacionales de Selva,Peru
TJ,T.J. Air,United States
TK,Turkish Airlines,Turkey
TL,Airnorth,Australia
TL,Trans Mediterranean Airlines,Lebanon
TM,Air Mozambique,Mozambique
TN,Air Tahiti Nui,France
TO,President Airlines,Cambodia
TO,Transavia France,France
TP,TAP Portugal,Portugal
TQ,Tandem Aero,Moldova
TQ,Texas Wings,United States
TR,Tiger Airways,Singapore
TS,Air Transat,Canada
TT,Air Lithuania,Lithuania
TT,Tiger Airways Australia,Australia
TU,Tunisair,Tunisia
TV,Virgin Express,Belgium
TW,Trans World Airlines,United States
TW,Tway Airlines,South Korea
TX,Air Cara��bes,France
TY,Air Cal,France
TY,Iberworld,Spain
TZ,Scoot,Singapore
U1,AirOne Polska,Poland
U1,Aviabus,Russia
U2,easyJet,United Kingdom
U2,United Feeder Service,United States
U3,Avies,Estonia
U4,PMTair,Cambodia
U5,USA3000 Airlines,United States
U6,Ural Airlines,Russia
U7,Northern Dene Airways,Canada
U7,USA Jet Airlines,United States
U8,Armavia,Armenia
U9,Tatarstan Airlines,Russia
UA,United Airlines,United States
UB,Myanma Airways,Myanmar
UD,Hex'Air,France
UE,Nasair,Eritrea
UE,Transeuropean Airlines,Russia
UF,UM Airlines,Ukraine
UG,Tuninter,Tunisia
UH,US Helicopter Corporation,United States
UI,Eurocypria Airlines,Cyprus
UJ,AlMasria Universal Airlines,Egypt
UK,buzz,\N
UK,Air UK,United Kingdom
UL,SriLankan Airlines,Sri Lanka
UM,Air Zimbabwe,Zimbabwe
UN,Transaero Airlines,Russia
UO,Hong Kong Express Airways,Hong Kong SAR of China
UP,Bahamasair,Bahamas
UQ,O'Connor Airlines,Australia
UQ,Skyjet Airlines,Uganda
UR,UTair-Express,Russia
US,US Airways,United States
UT,UTair Aviation,Russia
UU,Air Austral,France
UX,Air Europa,Spain
UY,Cameroon Airlines,Cameroon
UZ,El-Buraq Air Transport,Libya
V0,Conviasa,Venezuela
V2,Karat,Russia
V2,Vision Airlines (V2),United States
V3,Carpatair,Romania
V4,Reem Air,Kyrgyzstan
V5,Avolar Aerolineas,Mexico
V5,Royal Aruban Airline,Aruba
V5,Danube Wings (V5),Slovakia
V6,VIP Ecuador,Ecuador
V7,Air Senegal International,Senegal
V8,ATRAN Cargo Airlines,Russian Federation
V9,BAL Bashkirian Airlines,Russia
V9,Star1 Airlines,Lithuania
VA,V Australia Airlines,Australia
VA,Viasa,Venezuela
VA,Virgin Australia,Australia
VB,Birmingham European,United Kingdom
VB,Pacific Express,United States
VC,Ocean Airlines,Italy
VC,Voyageur Airways,Canada
VC,Strategic Airlines,Australia
VD,Air Libert,France
VD,Kunpeng Airlines,China
VD,SwedJet Airways,Sweden
VE,Avensa,Venezuela
VE,EUjet,Ireland
VE,Volare Airlines,Italy
VF,Valuair,Singapore
VG,VLM Airlines,Belgium
VH,Virgin Pacific,Fiji
VI,Volga-Dnepr Airlines,Russia
VJ,Jatayu Airlines,Indonesia
VJ,Royal Air Cambodge,Cambodia
VK,Virgin Nigeria Airways,Nigeria
VL,Air VIA,Bulgaria
VM,Viaggio Air,Bulgaria
VN,Vietnam Airlines,Vietnam
VO,Tyrolean Airways,Austria
VP,VASP,Brazil
VQ,Viking Hellas,Greece
VR,TACV,Portugal
VS,Virgin Atlantic Airways,United Kingdom
VT,Air Tahiti,French Polynesia
VU,Air Ivoire,Ivory Coast
VV,Aerosvit Airlines,Ukraine
VW,Aeromar,Mexico
VX,Virgin America,United States
VY,Formosa Airlines,Taiwan
VY,Vueling Airlines,Spain
VZ,MyTravel Airways,United Kingdom
W1,World Experience Airline,Canada
W2,Canadian Western Airlines,Canada
W2,Maastricht Airlines,Netherlands
W3,Arik Air,Nigeria
W4,Ulendo Airlink,Malawi
W4,AeroWorld ,Russia
W5,Mahan Air,Iran
W6,Wizz Air,Hungary
W7,Austral Brasil,Brazil
W8,Cargojet Airways,Canada
W9,Wizz Air,United Kingdom
WA,KLM Cityhopper,Netherlands
WA,Western Airlines,United States
WB,Rwandair Express,Rwanda
WC,Islena De Inversiones,Honduras
WD,DAS Air Cargo,Uganda
WD,Amsterdam Airlines,Netherlands
WE,Centurion Air Cargo,United States
WF,Wider��e,Norway
WG,Sunwing Airlines,Canada
WG,Worldways,Canada
WG,Sunwing,Canada
WH,China Northwest Airlines,China
WH,China Northwest Airlines (WH),China
WJ,WebJet Linhas A,Brazil
WK,American Falcon,Argentina
WK,Edelweiss Air,Switzerland
WL,CheapFlyingInternational,France
WM,Windward Islands Airways,Netherlands Antilles
WN,Southwest Airlines,United States
WO,World Airways,United States
WP,Island Air (WP),United States
WQ,PanAm World Airways,United States
WR,Royal Tongan Airlines,Tonga
WS,WestJet,Canada
WU,Wizz Air Ukraine,Ukraine
WV,Swe Fly,Sweden
WW,bmibaby,United Kingdom
WX,CityJet,Ireland
WY,Oman Air,Oman
WZ,Red Wings,Russia
X1,Nik Airways,Saudi Arabia
X3,TUIfly,Germany
X7,Chitaavia,Russia
XA,XAIR USA,United States
XB,NEXT Brasil,Brazil
XE,ExpressJet,United States
XF,Vladivostok Air,Russia
XG,Calima Aviacion,Spain
XJ,Mesaba Airlines,United States
XK,Corse-Mediterranee,France
XL,Aerolane,Ecuador
XM,Alitalia Express,Italy
XN,Xpressair,Indonesia
XO,China Xinhua Airlines,China
XO,LTE International Airways,Spain
XP,Xtra Airways,United States
XP,Caribbean Wings,Turks and Caicos Islands
XP,XPTO,Portugal
XQ,SunExpress,Turkey
XR,Skywest Australia,Australia
XS,SITA,Belgium
XS,Texas Spirit,United States
XT,Air Exel,Netherlands
XV,BVI Airways,British Virgin Islands
XW,Sky Express,Russia
XX,Greenfly,Spain
XY,Nas Air,Saudi Arabia
XZ,Congo Express,Congo (Kinshasa)
Y0,Yellow Air Taxi,United States
Y1,Yellowstone Club Private Shuttle,United States
Y4,Volaris,Mexico
Y5,Pace Airlines,United States
Y5,Asia Wings,Kazakhstan
Y7,NordStar Airlines,Russia
Y8,Yangtze River Express,China
Y8,Marusya Airways,Russia
Y9,Kish Air,Iran
YC,Ciel Canadien,Canada
YD,Gomelavia,Belarus
YE,Yellowtail,United States
YH,Yangon Airways Ltd.,Burma
YI,TUR Avrupa Hava Yollar���,Turkey
YK,Cyprus Turkish Airlines,Turkey
YL,Yamal Airlines,Russia
YM,Montenegro Airlines,Montenegro
YO,TransHolding System,Brazil
YP,Aero Lloyd (YP),Germany
YQ,Polet Airlines (Priv),Russia
YR,SENIC AIRLINES,United States
YS,R̩gional,France
YT,Air Togo,Togo
YT,Yeti Airways,Nepal
YV,Mesa Airlines,United States
YW,Air Nostrum,Spain
YX,Midwest Airlines,United States
YY,Virginwings,Germany
YZ,LSM AIRLINES ,Russia
Z2,Zest Air,Philippines
Z3,Avient Aviation,Zimbabwe
Z4,Zoom Airlines,Canada
Z6,ZABAIKAL AIRLINES,Russia
Z7,ADC Airlines,Nigeria
Z7,Zimbabwean Airlines,Zimbabwe
Z7,REDjet,Barbados
Z8,Amaszonas,Bolivia
Z9,Flightlink Tanzania,Tanzania
ZA,Access Air,United States
ZA,Interavia Airlines,Russia
ZB,Air Bourbon,Reunion
ZB,Monarch Airlines,United Kingdom
ZC,Korongo Airlines,Congo (Kinshasa)
ZE,Arcus-Air Logistic,Germany
ZE,Lineas Aereas Azteca,Mexico
ZE,Eastar Jet,South Korea
ZF,Athens Airways,Greece
ZG,Viva Macau,Macao
ZH,Shenzhen Airlines,China
ZI,Aigle Azur,France
ZJ,Zambezi Airlines (ZMA),Zambia
ZK,Great Lakes Airlines,United States
ZL,Regional Express,Australia
ZM,Apache Air,United States
ZN,Zenith International Airline,Thailand
ZP,Silk Way Airlines,Azerbaijan
ZP,Zabaykalskii Airlines,Russia
ZQ,Annsett New Zealand (NZA),New Zealand
ZQ,Locair,United States
ZS,Sama Airlines,Saudi Arabia
ZT,Titan Airways,United Kingdom
ZU,Helios Airways,Cyprus
ZV,Air Midwest,United States
ZW,Air Wisconsin,United States
ZX,Air Georgian,Canada
ZX,Japan Regio,Japan
ZY,Ada Air,Albania
ZZ,Zz,Belgium
EZY,EasyJet,United Kingdom
TOM,Thomson Airways,United Kingdom
